"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","16051","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [20] а а а, aa@a.ru, 1231231233, 12.12.1984, 4, 1, 20","","Tue Jan 07 17:33:59 GMT 2025","passed","Tue Jan 07 17:34:15 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","19175","test(String, String, String, String, Integer, Integer, Integer) [18] а а а, aa@a.ru, 123, 12.12.1984, 2, 99999999, 20","","Tue Jan 07 17:39:30 GMT 2025","passed","Tue Jan 07 17:39:49 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","17259","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [21] а , aa@a.ru, 1231231233, 12.12.1984, 0, 1, 20","","Tue Jan 07 17:33:42 GMT 2025","passed","Tue Jan 07 17:33:59 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","15296","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [12] а а а, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Tue Jan 07 17:32:04 GMT 2025","passed","Tue Jan 07 17:32:19 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13909","premiumTest(String, String, String, String, Integer) [4] аа аа, 11.1, 123123123123123, моск, 1","","Tue Jan 07 17:31:04 GMT 2025","passed","Tue Jan 07 17:31:18 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","21799","test(String, String, String, String, Integer, Integer, Integer) [17] а , aa@a.ru, 1231231233, 12.12.1984, 0, 99999999, 20","","Tue Jan 07 17:39:14 GMT 2025","passed","Tue Jan 07 17:39:36 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","13143","vkladsTest(String, String, String, String, Integer) [4] а а, 11.11.1999, 123123123123123, моск, 4","","Tue Jan 07 17:37:12 GMT 2025","failed","Tue Jan 07 17:37:25 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","27725","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [19] а а а, a@a.ru, 1231231233, 12.12.1984, 4, 1, 20","","Tue Jan 07 17:33:14 GMT 2025","failed","Tue Jan 07 17:33:42 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","21519","test(String, String, String, String, Integer, Integer, Integer) [7] а а а, aa@a.ru, 1231231233, 1.1.1, 3, 1, 0","","Tue Jan 07 17:35:55 GMT 2025","passed","Tue Jan 07 17:36:17 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","24613","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [4] а а а, aa@a.ru, 123, 12.12.1984, 2, 1, 0","","Tue Jan 07 17:29:43 GMT 2025","passed","Tue Jan 07 17:30:07 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
